id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
137593,88,92,4,036035,036035,36.27275067,-109.20238565
138976,80.99999999999997,87,71,036035,036035,35.7372583,-109.5188139
138993,88.99999999999997,92,5,036035,036035,36.2757056,-109.2012444
246317,88,92,4,036035,036035,36.2727778,-109.2036111
264379,86,87,85,036035,036035,36.3540207,-109.58562722
264380,84,86,26,036035,036035,36.35451231,-109.59826722
264382,87,92,50,036035,036035,36.27743984,-109.20430429
264423,81,83,7,036035,036035,35.73160305,-109.52045525
264424,85.99999999999999,88,79,036035,036035,35.73941613,-109.51945922
264425,80.99999999999997,85,1,036035,036035,35.73895384,-109.51486771
128739,88.99999999999997,92,5,036035,036035,36.2757056,-109.2012444
128742,80.99999999999997,87,71,036035,036035,35.7372583,-109.5188139
19119,81.99999999999994,87,78,036035,036035,35.7370809947,-109.519580107
19536,89.99999999999996,92,4,036035,036035,36.2742405204,-109.202889594
