id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
58683,85.99999999999999,88,1,016033,016034,38.11874167,-77.94763889
58684,78,87,2,016033,016034,38.11596988,-77.9133293
58688,91,93,1,016033,016034,38.0954,-77.8265722
58746,91,93,2,016033,016034,38.0961111,-77.8252778
58747,89.99999999999997,92,6,016033,016034,38.10055556,-77.8333333
58748,92.99999999999994,95,91,016033,016034,38.1008333,-77.8477778
58749,93,94,58,016033,016034,38.1022222,-77.8552778
58750,94,94,66,016033,016034,38.1033333,-77.8405556
58751,91.00000000000011,92,1,016033,016034,38.10444444,-77.8608333
58752,88.99999999999999,91,2,016033,016034,38.10638889,-77.8694444
58753,85.99999999999997,90,1,016033,016034,38.1075,-77.8761111
58754,86.99999999999997,89,1,016033,016034,38.1097222,-77.88388889
58755,88,91,0,016033,016034,38.1097222,-77.9044444
58756,88.99999999999999,91,1,016033,016034,38.11,-77.8972222
58758,89,91,7,016033,016034,38.11194444,-77.89
58759,86.99999999999997,89,1,016033,016034,38.11194444,-77.9111111
58760,89.00000000000013,91,45,016033,016034,38.11388889,-77.93638889
58761,88.00000000000004,91,1,016033,016034,38.1147222,-77.92888889
58762,88.00000000000001,90,1,016033,016034,38.11555556,-77.9216667
58764,85,88,2,016033,016034,38.11694444,-77.9141667
58765,85.99999999999997,88,2,016033,016034,38.11777778,-77.9411111
58766,85.99999999999996,88,1,016033,016034,38.11916667,-77.9477778
133514,84.00000000000001,87,1,016033,016034,38.1636,-78.4372
135711,89.99999999999999,93,0,016033,016034,38.0631,-77.8319
135720,85.99999999999996,89,1,016033,016034,38.1119,-77.9422
135761,95,97,94,016033,016034,38.0319,-77.7375
135762,94.00000000000004,95,92,016033,016034,38.0536,-77.7656
135763,92,94,71,016033,016034,38.0697,-77.7875
135764,93,95,1,016033,016034,38.0861,-77.8153
135765,91,93,1,016033,016034,38.0954,-77.8266
135766,93.00000000000009,94,91,016033,016034,38.1048,-77.839
135767,91.00000000000006,92,74,016033,016034,38.1049,-77.8634
135768,87,90,4,016033,016034,38.1119,-77.8864
135769,89.00000000000014,91,24,016033,016034,38.1146,-77.9367
135770,85,87,1,016033,016034,38.1194,-77.9455
135771,85.99999999999999,88,1,016033,016034,38.1187,-77.9476
135785,93.00000000000009,94,5,016033,016034,38.0961,-77.8144
185180,86.99999999999999,91,2,016033,016034,38.0643,-77.8481
185181,85,89,1,016033,016034,38.0636,-77.8497
185182,84.00000000000001,89,1,016033,016034,38.0645,-77.8501
185183,86.99999999999999,89,3,016033,016034,38.1012,-77.8943
185184,91.00000000000006,93,1,016033,016034,38.0789,-77.7875
185185,93.99999999999996,96,91,016033,016034,38.0518,-77.7492
185187,89.99999999999999,93,1,016033,016034,38.0469,-77.7432
185188,95,97,94,016033,016034,38.027,-77.7334
185189,90,94,2,016033,016034,38.0556,-77.7774
185190,87.00000000000001,94,1,016033,016034,38.0567,-77.7776
185191,93,94,2,016033,016034,38.0794,-77.8103
185192,79,87,2,016033,016034,38.1157,-77.9139
185193,88.00000000000003,91,30,016033,016034,38.1147,-77.931
185194,85.99999999999999,89,2,016033,016034,38.1179,-77.9409
185195,84.00000000000001,87,9,016033,016034,38.118,-77.9581
185209,91,94,1,016033,016034,38.0217,-77.7121
185210,93.00000000000009,95,14,016033,016034,38.0658,-77.769
301116,90.00000000000006,92,1,016033,016034,38.0317,-77.78
301139,90,92,4,016033,016034,38.1018,-77.8321
301140,90,92,4,016033,016034,38.1017,-77.8322
301141,89.99999999999999,92,4,016033,016034,38.1016,-77.8323
301142,88.00000000000001,91,2,016033,016034,38.1105,-77.9027
301143,87.99999999999999,91,2,016033,016034,38.1104,-77.9027
301144,87.99999999999997,91,2,016033,016034,38.1103,-77.9028
301145,88.00000000000001,91,1,016033,016034,38.1095,-77.9033
6397,84,88,2,016034,016034,37.5677,-78.5313
21836,76,82,1,016034,016034,37.315287,-79.819212
21842,76.99999999999996,81,2,016034,016034,37.21441,-78.62347
23602,83.99999999999999,87,1,016034,016034,37.59328278,-79.38320406
36306,76,90,1,016034,016034,36.592,-78.164
58703,84,88,2,016034,016034,37.67097957,-78.0858328
133187,75,80,5,016034,016034,37.3892,-79.0594
133190,74,89,5,016034,016034,37.3036,-78.4067
133207,87.99999999999996,90,1,016034,016034,37.643,-77.8495
133208,85.00000000000001,88,1,016034,016034,37.6897,-77.9294
133209,82,86,2,016034,016034,37.643,-78.0409
133210,84.99999999999999,87,4,016034,016034,37.6643,-78.0777
133211,73,81,4,016034,016034,37.7279,-78.1213
133213,69,83,1,016034,016034,37.7588,-78.5686
133214,72,83,1,016034,016034,37.6339,-78.8156
133215,76,83,1,016034,016034,37.6074,-78.8108
133216,77.99999999999999,83,7,016034,016034,37.5357,-78.8338
133217,78,84,1,016034,016034,37.4226,-79.069
133218,72,83,3,016034,016034,37.4561,-79.1795
133241,74,82,5,016034,016034,37.5316,-78.2758
133244,79.99999999999999,85,2,016034,016034,37.2017,-78.4453
133245,84,86,4,016034,016034,37.1781,-78.4608
133264,75,81,2,016034,016034,38.0717,-78.6528
133310,79,82,3,016034,016034,37.8911,-78.3733
133485,79,83,4,016034,016034,37.4903,-79.1658
133490,82,84,5,016034,016034,37.4389,-79.1508
133497,79,83,4,016034,016034,37.3913,-78.636
133498,81.99999999999999,85,7,016034,016034,37.3925,-78.637200000000007
133579,84,89,1,016034,016034,37.6655,-77.8897
133580,83,87,1,016034,016034,37.6395,-78.0061
133581,80,84,2,016034,016034,37.644,-78.0455
133582,84,87,1,016034,016034,37.6706,-78.0869
133583,80.99999999999999,88,2,016034,016034,37.75,-78.1615
133584,75,83,2,016034,016034,37.7431,-78.1847
133585,80,84,1,016034,016034,37.7107,-78.3024
133586,83,86,2,016034,016034,37.71,-78.3091
133587,85,89,1,016034,016034,37.7965,-78.4929
133588,86,88,4,016034,016034,37.7914,-78.484
133591,71,83,2,016034,016034,37.5031,-79.262200000000007
133594,61.99999999999999,82,2,016034,016034,37.5912,-79.3809
133617,90.99999999999996,94,11,016034,016034,37.9605,-79.4586
133621,76,80,1,016034,016034,37.1678,-77.9836
133661,79,87,1,016034,016034,37.6611,-79.0786
133738,76,81,5,016034,016034,37.51,-79.2692
133741,79,83,1,016034,016034,37.6781,-79.2783
133774,81,87,1,016034,016034,38.1044,-78.4694
133775,88,92,4,016034,016034,38.0965,-78.486
133796,80.99999999999999,85,10,016034,016034,37.2587,-78.316
133812,75,82,1,016034,016034,37.6728,-79.12
133814,70,81,1,016034,016034,38.0883,-78.6267
133841,79,83,36,016034,016034,37.6694,-79.1375
133893,80,83,2,016034,016034,37.6928,-78.8824
133895,84.99999999999999,88,1,016034,016034,37.4703,-77.9214
134145,89.99999999999997,93,2,016034,016034,36.7797,-78.9261
134160,94,95,1,016034,016034,36.6492,-78.4413
134178,96,97,95,016034,016034,37.0278,-79.6333
134180,91,93,3,016034,016034,36.6642,-78.5719
