id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
11078,99,99,98,016037,016038,32.4997,-80.445
11079,99,99,98,016037,016038,32.4982,-80.5162
11083,99,99,98,016037,016038,32.5025,-80.3583
11084,99,99,98,016037,016038,32.4958,-80.5759
11108,96,98,44,016037,016038,32.5506,-80.8343
11119,68,99,14,016037,016038,32.4717,-80.5082
11129,73,93,3,016037,016038,32.5057,-80.758
11133,99,99,98,016037,016038,32.4486,-80.4307
11139,98.00000000000004,99,13,016037,016038,32.5338,-80.5814
11143,99,99,98,016037,016038,32.5004,-80.3575
11144,99,99,98,016037,016038,32.4887,-80.5821
11149,98,99,9,016037,016038,32.5205,-80.7789
11167,67,99,21,016037,016038,32.5132,-80.3913
11171,80.99999999999999,99,3,016037,016038,32.5209,-80.5778
11176,71,99,26,016037,016038,32.4892,-80.5288
11186,99,99,98,016037,016038,32.5012,-80.5017
11190,99,99,98,016037,016038,32.5055,-80.5563
11192,98.00000000000004,99,40,016037,016038,32.5018,-80.6368
11208,98.00000000000009,99,8,016037,016038,32.5069,-80.4569
11210,98,99,93,016037,016038,32.4976,-80.4443
11214,98,99,97,016037,016038,32.5233,-80.8439
11223,58,98,23,016037,016038,32.5186,-80.5855
11226,70.00000000000001,99,31,016037,016038,32.5045,-80.3774
11241,70,98,41,016037,016038,32.5284,-80.7937
11245,98,99,98,016037,016038,32.526,-80.847
11251,98.00000000000011,99,5,016037,016038,32.54,-80.601
11260,99,99,98,016037,016038,32.474,-80.47
11267,99,99,39,016037,016038,32.519,-80.527
11271,98.99999999999991,99,20,016037,016038,32.486,-80.555
11281,93,99,17,016037,016038,32.506,-80.589
11296,66,99,21,016037,016038,32.487,-80.53
11311,99,99,98,016037,016038,32.458,-80.445
11313,99,99,98,016037,016038,32.487,-80.481
11317,98.99999999999989,99,37,016037,016038,32.507,-80.595
11323,98,99,95,016037,016038,32.502,-80.655
11335,59.00000000000001,98,27,016037,016038,32.524,-80.819
11341,92.99999999999996,98,44,016037,016038,32.516,-80.727
11360,96,99,0,016037,016038,32.493,-80.325
24025,99,99,98,016037,016038,32.4997,-80.445
24026,99,99,98,016037,016038,32.4982,-80.5162
24030,99,99,98,016037,016038,32.5025,-80.3583
24031,99,99,98,016037,016038,32.4958,-80.5759
24054,96,98,44,016037,016038,32.5506,-80.8343
24064,68,99,14,016037,016038,32.4717,-80.5082
24072,73,93,3,016037,016038,32.5057,-80.758
24076,99,99,98,016037,016038,32.4486,-80.4307
24082,98.00000000000004,99,13,016037,016038,32.5338,-80.5814
24086,99,99,98,016037,016038,32.5004,-80.3575
24087,99,99,98,016037,016038,32.4887,-80.5821
24092,98,99,9,016037,016038,32.5205,-80.7789
