id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
141740,99.00000000000004,100,96,071013,072013,66.171622,-148.533504
8170,97.99999999999984,99,25,071014,072013,66.051425,-148.711172
8171,95,98,12,071014,072013,66.050901,-148.986491
8172,95.99999999999974,98,2,071014,072013,66.024525,-149.20595
187115,60,85,9,073013,072013,66.85152,-151.09515
187116,92,94,3,073013,072013,66.90805,-151.68083
187318,89.99999999999999,93,9,073013,072013,67.4379087,-150.0777446
246063,91,94,2,073013,072013,67.41012938,-150.1085756
188048,63,84,1,073013,072013,67.06839564,-151.0123909
