id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
246040,88,92,18,068014,069014,65.805163,-146.6511339
246049,62,88,2,068015,069014,64.9019722,-146.3613333
8165,98,99,23,071013,069014,66.40701,-147.11436
8166,99.00000000000004,100,34,071013,069014,66.349053,-147.336759
8167,99,100,96,071013,069014,66.281292,-147.67171
8168,99,100,98,071013,069014,66.228257,-147.908202
187920,99,100,64,071013,069014,66.3511,-147.327
246185,85,92,7,071013,069014,66.29515118,-147.7803803
