id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
165299,75,97,1,036027,037027,47.66932485201093,-106.89241709740531
20299,82,94,2,036027,037027,47.87668819,-107.1252315
306975,64,97,2,036027,037027,47.99698,-106.4782
306977,66,90,2,036027,037027,47.83313,-106.65169
75584,97,98,96,036027,037027,47.89017,-106.5242
75585,97,98,96,036027,037027,47.79269,-106.6329
75586,97,98,97,036027,037027,47.67997,-106.8796
142539,88.99999999999999,93,5,037026,037027,48.2065360314,-108.087902701
20286,85,93,1,037027,037027,47.76171554,-108.4328294
22881,95,96,4,037027,037027,47.79955099,-109.0182369
75587,98,99,97,037027,037027,47.63503,-107.6454
240933,96,97,7,037027,037027,47.63143056,-108.6877444
241454,96,97,1,037027,037027,47.63064,-108.68717
241455,96,97,3,037027,037027,47.62366,-108.67805
306978,73.99999999999999,97,1,037027,037027,47.66829,-107.67071
306983,94,96,0,037027,037027,47.61601,-108.45953
306984,91,96,0,037027,037027,47.57838,-108.34618
19486,93.99999999999994,95,11,037027,037027,48.1339956835,-108.189950477
