id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
22336,74,91,2,041028,041029,45.38527554,-115.5332862
22347,53,85,4,041028,041029,45.18621772,-113.8928287
190129,74,91,2,041028,041029,45.38527554,-115.5332862
190140,53,85,4,041028,041029,45.18622,-113.8928
232990,46,83,2,041028,041029,45.1836111,-113.8952778
232998,65,89,6,041028,041029,45.38518636,-115.49929
193342,89,92,3,041029,041029,44.90513684371992,-116.11819940679052
240630,89,92,3,041029,041029,44.90513684371992,-116.11819940679052
302743,95,96,27,041029,041029,44.92291440895791,-116.12486651331552
19936,81,88,1,041029,041029,44.83832985,-116.0344437
19939,92,96,86,041029,041029,44.32909632,-116.1841073
19940,95,97,0,041029,041029,43.99802567,-114.8891906
19942,94.00000000000004,96,18,041029,041029,44.29971223,-115.2539785
19946,95,97,2,041029,041029,44.10981036,-114.9661056
19949,94.00000000000004,95,87,041029,041029,45.12898626,-116.0220887
19955,88,93,3,041029,041029,44.97021316,-116.001262
19958,97.00000000000004,98,2,041029,041029,43.94034156,-114.9417467
19960,96,97,95,041029,041029,43.97945187,-114.8776554
21030,93,95,3,041029,041029,44.412769,-115.13265
21031,96,97,95,041029,041029,44.000621,-114.875721
21041,92,96,86,041029,041029,44.3291,-116.1841
21043,94,96,92,041029,041029,45.12767,-116.0224
21049,97,98,95,041029,041029,43.91242,-114.8611
21056,55,86,4,041029,041029,44.37343,-115.9853
22335,42,80,9,041029,041029,44.83915163,-114.7851599
22337,76,96,4,041029,041029,44.39606896,-116.0460788
22349,45,90,3,041029,041029,44.26037598,-114.7981142
48335,96,97,6,041029,041029,44.91156147,-116.1031809
48336,95,97,6,041029,041029,44.91406119,-116.120959
48337,95,96,2,041029,041029,44.91767275,-116.0962363
48338,95,96,7,041029,041029,44.92350569,-116.1240146
48339,95,96,25,041029,041029,44.92850675,-116.0617909
48340,96,97,95,041029,041029,44.9304506,-116.0981806
48341,96,97,5,041029,041029,44.93100636,-116.0870692
48342,96,97,30,041029,041029,44.93239556,-116.0687355
48343,95,96,9,041029,041029,44.9343392,-116.1187365
48344,96,96,5,041029,041029,44.9354514,-116.052624
48345,96,97,43,041029,041029,44.93572869,-116.083458
48346,96,97,96,041029,041029,44.9373957,-116.0606797
