id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
8541,99,99,98,020039,021039,30.643,-87.9509
8542,98,99,98,020039,021039,30.5974,-87.96
8545,99,99,98,020039,021039,30.4879,-87.9427
8546,98,99,5,020039,021039,30.4589,-87.9189
8549,99,99,98,020039,021039,30.3549,-87.8913
8550,98.99999999999994,99,98,020039,021039,30.348,-88.011
8551,98.99999999999996,99,98,020039,021039,30.349,-87.9323
8552,99,99,98,020039,021039,30.3081,-87.89
8554,98,99,98,020039,021039,30.2878,-87.9807
8563,95.00000000000004,96,7,020039,021039,30.886,-87.8911
8569,98,99,98,020039,021039,30.2704,-88.0399
8570,99,99,98,020039,021039,30.2698,-87.8897
8575,99,99,98,020039,021039,30.4,-87.83
8576,98,99,97,020039,021039,30.2903,-87.7501
8578,98,98,97,020039,021039,30.2501,-88.0196
8584,98,99,0,020039,021039,30.2412,-87.7504
8589,99,99,98,020039,021039,30.6433,-87.951
8590,99,99,98,020039,021039,30.5967,-87.96
8593,99,99,98,020039,021039,30.4879,-87.9431
8594,98,99,5,020039,021039,30.459,-87.9189
8597,99,99,98,020039,021039,30.3566,-87.8901
8598,99,99,98,020039,021039,30.3477,-88.0111
8599,99,99,98,020039,021039,30.3492,-87.9321
8600,98,99,98,020039,021039,30.3015,-87.8932
8602,98,99,98,020039,021039,30.288,-87.9809
8612,95.00000000000006,96,7,020039,021039,30.8861,-87.891
8618,98,99,98,020039,021039,30.2701,-88.0399
8619,99,99,98,020039,021039,30.2699,-87.8899
8624,99,99,98,020039,021039,30.4001,-87.83
8625,98,99,97,020039,021039,30.2902,-87.7498
8627,98,98,97,020039,021039,30.2497,-88.02
8634,98,99,0,020039,021039,30.2412,-87.7504
8639,99,99,98,020039,021039,30.6429,-87.9508
8640,98,99,98,020039,021039,30.5972,-87.96
8643,99,99,98,020039,021039,30.4879,-87.943
8644,98,99,5,020039,021039,30.4589,-87.9189
8647,99,99,98,020039,021039,30.355,-87.891
8648,99,99,98,020039,021039,30.3478,-88.0107
8649,99,99,98,020039,021039,30.3489,-87.9319
8650,99,99,98,020039,021039,30.308,-87.89
8652,98,99,98,020039,021039,30.288,-87.9806
8661,95.00000000000004,96,7,020039,021039,30.886,-87.8908
8667,98,99,98,020039,021039,30.2702,-88.0399
8668,99,99,98,020039,021039,30.2702,-87.8901
8673,99,99,98,020039,021039,30.4,-87.8299
8674,98,99,97,020039,021039,30.2901,-87.7499
8676,98,98,97,020039,021039,30.2502,-88.0197
8682,98,99,0,020039,021039,30.2411,-87.7503
8687,99,99,98,020039,021039,30.648,-87.951
8688,98,99,98,020039,021039,30.597,-87.96
8691,99,99,98,020039,021039,30.488,-87.943
8692,98,99,5,020039,021039,30.459,-87.919
8695,99,99,98,020039,021039,30.355,-87.891
8696,98.99999999999994,99,98,020039,021039,30.348,-88.011
8697,99,99,98,020039,021039,30.349,-87.932
8698,99,99,98,020039,021039,30.308,-87.89
8700,98,99,98,020039,021039,30.288,-87.981
8710,95.00000000000004,96,7,020039,021039,30.886,-87.891
8716,98,99,98,020039,021039,30.27,-88.04
8717,99,99,98,020039,021039,30.27,-87.89
8722,99,99,98,020039,021039,30.4,-87.83
8723,98,99,97,020039,021039,30.29,-87.75
8725,98,99,97,020039,021039,30.25,-88.019
8732,98,99,0,020039,021039,30.241,-87.75
8737,99,99,98,020039,021039,30.643,-87.951
8738,98,99,98,020039,021039,30.597,-87.96
8741,99,99,98,020039,021039,30.488,-87.943
8742,98,99,5,020039,021039,30.459,-87.919
8745,99,99,98,020039,021039,30.355,-87.891
8746,98.99999999999994,99,98,020039,021039,30.348,-88.011
8747,99,99,98,020039,021039,30.349,-87.932
8748,99,99,98,020039,021039,30.308,-87.89
8750,98,99,98,020039,021039,30.288,-87.981
8760,95.00000000000004,96,7,020039,021039,30.886,-87.891
8766,98,99,98,020039,021039,30.27,-88.04
8767,99,99,98,020039,021039,30.27,-87.89
8772,99,99,98,020039,021039,30.4,-87.83
8773,98,99,97,020039,021039,30.29,-87.75
8775,98,98,97,020039,021039,30.25,-88.02
16843,99,99,98,020039,021039,30.643,-87.9509
16844,98,99,98,020039,021039,30.5974,-87.96
16847,99,99,98,020039,021039,30.4879,-87.9427
16848,98,99,5,020039,021039,30.4589,-87.9189
16851,99,99,98,020039,021039,30.3549,-87.8913
16852,98.99999999999994,99,98,020039,021039,30.348,-88.011
16853,98.99999999999996,99,98,020039,021039,30.349,-87.9323
16854,99,99,98,020039,021039,30.3081,-87.89
16856,98,99,98,020039,021039,30.2878,-87.9807
16865,95.00000000000004,96,7,020039,021039,30.886,-87.8911
16871,98,99,98,020039,021039,30.2704,-88.0399
16872,99,99,98,020039,021039,30.2698,-87.8897
16877,99,99,98,020039,021039,30.4,-87.83
16878,98,99,97,020039,021039,30.2903,-87.7501
16880,98,98,97,020039,021039,30.2501,-88.0196
16890,99,99,98,020039,021039,30.6433,-87.951
16891,99,99,98,020039,021039,30.5967,-87.96
16894,99,99,98,020039,021039,30.4879,-87.9431
16895,98,99,5,020039,021039,30.459,-87.9189
16898,99,99,98,020039,021039,30.3566,-87.8901
16899,99,99,98,020039,021039,30.3477,-88.0111
16900,99,99,98,020039,021039,30.3492,-87.9321
16901,98,99,98,020039,021039,30.3015,-87.8932
16903,98,99,98,020039,021039,30.288,-87.9809
16913,95.00000000000006,96,7,020039,021039,30.8861,-87.891
16919,98,99,98,020039,021039,30.2701,-88.0399
16920,99,99,98,020039,021039,30.2699,-87.8899
