id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
15117,82,92,1,016037,017037,33.752081851966075,-80.64563781256169
15120,80,86,0,016037,017037,33.76874826993727,-80.71411212834636
15125,75,82,1,016037,017037,33.77780370674949,-80.74508523709825
15126,86,89,2,016037,017037,33.809136462984156,-80.86619990189972
15127,82,92,0,016037,017037,33.75269303572219,-80.64441557452778
129016,82,92,0,016037,017037,33.75267743692505,-80.6449444904219
129018,89,92,1,016037,017037,33.70323851950626,-80.5964731500564
129019,95.99999999999991,97,91,016037,017037,33.66161937870622,-80.52129099343175
129020,93,96,0,016037,017037,33.64443980569343,-80.5347914371541
129038,92,94,82,016037,017037,33.607180712479845,-80.55104200893604
129039,96.00000000000016,98,92,016037,017037,33.64122984579831,-80.51261078048925
129042,96,97,94,016037,017037,33.58281125350246,-80.52836138604016
11108,96,98,44,016037,017037,32.5506,-80.8343
11214,98,99,97,016037,017037,32.5233,-80.8439
11245,98,99,98,016037,017037,32.526,-80.847
24054,96,98,44,016037,017037,32.5506,-80.8343
24155,98,99,97,016037,017037,32.5233,-80.8439
24185,98,99,98,016037,017037,32.5264,-80.8465
24342,65,97,7,016037,017037,32.54919,-80.8308
24343,56.000000000000014,96,39,016037,017037,32.54987,-80.87104
57461,96,97,91,016037,017037,33.6641667,-80.5244444
57481,93,95,90,016037,017037,33.6075,-80.5488889
275074,93,96,0,016037,017037,33.6452778,-80.5333528
275088,95.00000000000004,97,88,016037,017037,33.6666667,-80.5244444
275610,82,92,0,016037,017037,33.7530732,-80.6449766
275069,82,92,0,016037,017037,33.7527778,-80.6455556
275071,89,92,1,016037,017037,33.7027778,-80.5963889
102326,82,92,0,016037,017037,33.75294144,-80.64502136
102329,77,82,2,016037,017037,33.67256902,-80.77605973
102331,87,89,2,016037,017037,33.80907396,-80.86704344
102338,84,88,1,016037,017037,32.83474393,-81.16370234
102349,79,85,0,016037,017037,32.82681229,-81.18030838
102394,86,90,1,016037,017037,32.8360662,-81.1648661
102431,86,90,1,016037,017037,32.837127,-81.1670419
102535,77,85,1,016037,017037,32.8286836,-81.1809576
102543,85,90,1,016037,017037,32.8356696,-81.1705667
102802,89,94,0,016037,017037,33.673681,-80.522355
102880,98,99,97,016037,017037,32.5229377,-80.8441462
102882,98,99,98,016037,017037,32.5265187,-80.8464792
