id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
16787,80.99999999999999,89,1,045027,046027,47.26563871583151,-121.20617895196776
138285,80.99999999999999,89,1,045027,046027,47.26563871583151,-121.20617895196776
195216,96,98,2,045027,046027,47.48980921943035,-120.83117248276372
195221,54,83,54,045027,046027,47.43980220961227,-121.5111921253686
21907,97.0000000000001,98,15,045027,046027,47.4671,-121.4557
23664,60,95,3,045027,046027,47.18230382,-120.9080718
139170,73,90,6,045027,046027,46.9417761,-121.5981492
139215,97,98,3,045027,046027,47.8303988,-120.7762067
139216,95,96,6,045027,046027,47.82817818,-120.7109279
143386,96,97,27,045027,046027,46.851,-121.327
143388,97,98,96,045027,046027,47.267,-121.094
143396,94,96,4,045027,046027,47.636,-121.421
143402,96.00000000000004,97,0,045027,046027,47.316,-121.228
143403,94,96,2,045027,046027,47.466,-121.494
143404,97,97,96,045027,046027,47.349,-121.368
143421,91,95,1,045027,046027,47.617,-121.314
143424,97,98,97,045027,046027,47.823,-120.777
189605,86,97,3,045027,046027,47.69195678,-120.7109271
192225,60,95,3,045027,046027,47.18231,-120.9081
209852,95,97,1,045027,046027,48.01427435,-121.3487189
209853,94,95,17,045027,046027,48.02205219,-121.356497
209897,72,92,4,045027,046027,47.35511609,-121.1073122
209898,82,94,6,045027,046027,47.19123078,-120.9470269
210046,87,89,21,045027,046027,46.90594447,-121.5087013
210048,97,98,75,045027,046027,46.91399607,-121.7525978
210061,93,95,1,045027,046027,46.99094136,-121.6553744
210094,94,96,17,045027,046027,48.0217744,-121.3559415
245844,72,96,6,045027,046027,47.6762,-120.735
16786,95.99999999999996,97,9,045027,046027,47.25,-121.0830556
16788,72,97,5,045027,046027,47.3233333,-121.3391667
138284,95.99999999999996,97,9,045027,046027,47.25,-121.0830556
138286,72,97,5,045027,046027,47.3233333,-121.3391667
19210,97,98,96,045027,046027,47.266902055,-121.094003011
188012,89,92,1,045027,046027,47.44941667,-121.4701167
139306,83,94,1,045028,046027,46.75733185,-121.6981478
143434,98,99,92,045028,046027,46.639,-121.179
209975,83,95,14,045028,046027,46.77260925,-121.7156486
210024,77,90,0,045028,046027,46.76316579,-121.646202
210033,91,93,81,045028,046027,46.797054,-121.6742592
210035,62,86,3,045028,046027,46.80788939,-121.5159218
16789,97,98,3,045028,046027,46.6530556,-121.1280556
138288,97,98,3,045028,046027,46.6530556,-121.1280556
138289,93.99999999999996,99,0,045028,046027,46.6441,-121.1775
13928,98,99,97,046026,046027,48.3,-122.5
24987,98,99,96,046026,046027,48.28763,-122.48399
24988,98,99,96,046026,046027,48.28763,-122.48399
24989,98,99,96,046026,046027,48.28763,-122.48399
139333,98,98,96,046026,046027,48.32138889,-122.4941944
143325,91,95,4,046026,046027,48.282,-122.345
143416,79,85,1,046026,046027,48.247,-121.944
18811,85.99999999999999,90,3,046026,046027,48.2261202778,-122.124167522
246378,95,97,7,046027,046027,48.221429058159416,-122.68616285990234
11914,97.00000000000009,98,96,046027,046027,48.243,-122.622
11915,97,98,95,046027,046027,48.274,-122.652
11916,97,98,95,046027,046027,48.225,-122.711
11917,97,98,96,046027,046027,48.156,-122.535
11918,97,98,97,046027,046027,48.039,-122.316
11919,90,97,5,046027,046027,47.982,-122.222
11920,97,99,96,046027,046027,48.04,-122.743
11921,98,99,97,046027,046027,47.994,-122.678
11922,97,98,96,046027,046027,47.982,-122.503
11923,97,98,96,046027,046027,47.907,-122.337
11924,97.00000000000004,98,95,046027,046027,47.726,-122.53
11925,97.00000000000004,98,6,046027,046027,47.715,-122.629
11926,97.00000000000009,98,28,046027,046027,47.624,-122.374
11927,97.00000000000004,98,4,046027,046027,47.585,-122.346
11928,96,97,2,046027,046027,47.924,-122.68
11929,97,98,96,046027,046027,47.841,-122.646
11930,95.99999999999996,98,95,046027,046027,47.836,-122.579
11931,98,99,96,046027,046027,47.821,-122.818
11932,98,98,97,046027,046027,47.735,-122.844
11933,97,98,97,046027,046027,47.421,-123.11
11934,98,98,97,046027,046027,47.397,-122.956
11935,97,98,96,046027,046027,47.378,-123.129
11936,90.00000000000001,97,67,046027,046027,47.21,-123.083
11937,97,98,96,046027,046027,47.129,-122.914
11938,95,98,10,046027,046027,47.052,-122.896
11939,97,98,96,046027,046027,47.27,-122.851
11940,97,98,96,046027,046027,47.148,-122.659
11941,97,98,96,046027,046027,47.255,-122.598
11942,97,98,6,046027,046027,47.338,-122.584
11943,98,99,96,046027,046027,47.511,-122.486
11944,97,98,95,046027,046027,47.472,-122.507
11945,97,98,95,046027,046027,47.285,-122.472
11946,95,98,1,046027,046027,47.279,-122.398
11965,97,98,96,046027,046027,48.12,-122.623
11966,97,98,96,046027,046027,47.966,-122.554
11967,98,99,97,046027,046027,47.866,-122.419
11968,98,99,96,046027,046027,47.59,-122.428
