id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
241601,83,94,3,036028,036029,45.41492,-107.79036
308261,75,94,3,036028,036029,45.416117,-107.79015
14293,95.00000000000004,96,15,036029,036029,45.09527856172337,-108.21292224289996
14294,85.99999999999999,89,11,036029,036029,44.95613979505306,-108.2603109385395
14296,80.99999999999996,95,9,036029,036029,44.9465009947671,-108.24961606556104
14297,97.00000000000004,98,9,036029,036029,45.020056360298305,-108.24931138595156
14298,96,97,12,036029,036029,45.1703343342385,-108.15153237336544
14299,97,98,91,036029,036029,45.23483462454027,-108.07780845954557
14300,95.9999999999999,97,8,036029,036029,45.27558489084445,-108.01877932605603
14301,96,97,2,036029,036029,45.30641849507463,-107.95816651173178
14302,96,97,2,036029,036029,45.30647409458179,-107.95822211427874
14303,97,98,96,036029,036029,45.24750121506108,-108.07394739307682
14304,96.00000000000004,97,17,036029,036029,45.16866763295243,-108.15247678332528
14305,94,95,18,036029,036029,45.09841757799689,-108.19319943317056
14306,97,98,6,036029,036029,45.01983415568304,-108.25014481053964
14307,76.99999999999996,96,74,036029,036029,44.929640148900106,-108.21842032853088
138459,89.99999999999999,96,9,036029,036029,45.070026248088766,-106.8002808042028
138460,95.99999999999991,97,79,036029,036029,45.100106251903895,-106.7852206609627
138461,96,97,11,036029,036029,45.12091621508576,-106.7816007879662
186198,96,97,5,036029,036029,45.12853727721075,-106.7676244137514
186199,95.99999999999994,97,79,036029,036029,45.09909325202697,-106.78568066421856
186200,93,97,3,036029,036029,45.0690932219047,-106.80512495405098
186201,96,97,4,036029,036029,45.09075918293618,-106.80123708223904
194605,79,92,8,036029,036029,45.31991882373752,-107.9007203802689
20859,97,97,6,036029,036029,45.26371788,-108.0421145
20861,95,96,94,036029,036029,44.4786195,-106.7522443
21972,95,96,94,036029,036029,44.47862,-106.7522
21976,93,95,3,036029,036029,44.1842148,-106.7589307
138348,77.99999999999997,81,75,036029,036029,44.9271111,-108.2144167
138349,83,95,79,036029,036029,44.95166667,-108.2564444
138350,83.99999999999997,87,6,036029,036029,44.9530833,-108.2643889
138486,97,98,4,036029,036029,45.02327778,-108.24825
138487,95,96,4,036029,036029,45.12080556,-108.1838611
138488,95.00000000000006,96,4,036029,036029,45.1831944,-108.1491389
138489,90.00000000000001,94,3,036029,036029,45.21663889,-108.146
138490,97,98,11,036029,036029,45.23527778,-108.0777778
138491,97.00000000000004,98,3,036029,036029,45.25527778,-108.0638889
138492,96,97,5,036029,036029,45.26,-108.0244444
138493,96.00000000000004,97,4,036029,036029,45.26280556,-108.0351944
138494,94,96,1,036029,036029,45.26477778,-107.9799167
138495,96,97,29,036029,036029,45.3008611,-107.9645278
138496,95,96,0,036029,036029,45.31525,-107.9251111
157913,88.99999999999999,91,2,036029,036029,44.880266,-108.260015
157916,95,96,3,036029,036029,44.514576,-106.78219
157917,95,96,94,036029,036029,44.481265,-106.758054
157928,40,88,0,036029,036029,44.903747,-107.013786
157937,88,91,3,036029,036029,44.17723,-106.77675
157939,93,95,12,036029,036029,44.18243,-106.75708
157940,94,96,0,036029,036029,44.568736,-107.212486
157941,94,96,4,036029,036029,44.16699,-107.23086
157942,91,94,0,036029,036029,44.76122,-107.43752
157944,94.00000000000004,95,84,036029,036029,44.40871,-106.61237
208108,88,93,7,036029,036029,44.75856618,-108.1814972
246281,76,95,3,036029,036029,45.3166263,-107.9187211
246282,88,93,7,036029,036029,44.7585662,-108.1814972
267042,77,90,4,036029,036029,43.91995596,-108.057041
267053,65,89,3,036029,036029,44.3832907,-108.0362117
267092,85,94,0,036029,036029,44.50275096,-106.7867204
267094,94,95,3,036029,036029,44.51663986,-106.7808874
267435,60,82,3,036029,036029,44.19388889,-107.9152778
267450,69,87,8,036029,036029,44.4886111,-108.0469444
304159,82,92,1,036029,036029,45.3196819,-107.9103875
304160,81,92,3,036029,036029,45.33801539,-107.8984428
304469,84,97,4,036029,036029,45.088611,-106.79305600000001
304470,96,97,51,036029,036029,45.128333,-106.769444
266222,92,95,1,036029,036029,44.7578722,-107.4363306
266597,88,90,0,036029,036029,44.9064972,-107.0116278
266631,90,91,24,036029,036029,44.9063889,-107.1688889
266680,68,92,0,036029,036029,44.3429583,-108.0125444
266681,50,92,5,036029,036029,44.4462611,-108.0412139
266682,64,86,5,036029,036029,44.4802306,-108.0483389
266683,67,89,5,036029,036029,44.7824778,-108.1764083
266684,75,94,1,036029,036029,44.5430583,-108.0691056
303205,92,95,1,036029,036029,44.7578722,-107.4363306
303584,88,90,0,036029,036029,44.9064972,-107.0116278
303618,90,91,24,036029,036029,44.9063889,-107.1688889
303672,68,92,0,036029,036029,44.3429583,-108.0125444
303673,50,92,5,036029,036029,44.4462611,-108.0412139
303674,64,86,5,036029,036029,44.4802306,-108.0483389
303675,67,89,5,036029,036029,44.7824778,-108.1764083
303676,75,94,1,036029,036029,44.5430583,-108.0691056
18787,92.00000000000006,94,3,036029,036029,44.4582351712,-107.040375306
19154,95,96,7,036029,036029,44.4668072245,-106.75405767
19528,93,95,3,036029,036029,44.1842148056,-106.758930658
142568,96,97,5,036029,036029,45.1817761581,-108.13271037
266664,59,86,1,036029,036029,44.2829861,-107.9859556
266665,65,82,4,036029,036029,43.9217083,-108.0567611
266667,40,83,4,036029,036029,44.1282806,-107.9275278
266736,33,80,0,036029,036029,44.842635,-108.41733
266792,65,88,13,036029,036029,44.5063222,-108.0573667
303656,59,86,1,036029,036029,44.2829861,-107.9859556
303657,65,82,4,036029,036029,43.9217083,-108.0567611
303659,40,83,4,036029,036029,44.1282806,-107.9275278
303763,33,80,0,036029,036029,44.842635,-108.41733
303801,65,88,13,036029,036029,44.5063222,-108.0573667
308269,76,89,3,036029,036029,45.317017,-107.91823
