id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
246080,90,93,1,073011,074011,69.0896529,-148.7622664
141811,95.00000000000004,98,12,075010,074011,70.4313588,-150.4064824
187327,59,91,7,075010,074011,70.28138539,-148.962786
141767,87,91,85,075011,074011,69.2246037,-152.274617
187325,85.00000000000001,93,1,075011,074011,69.3605,-152.1226944
187326,95.00000000000014,98,16,075011,074011,70.1652244,-150.9197605
187582,71,90,0,075011,074011,69.8283053,-148.7565819
141805,94.00000000000004,96,14,077010,074011,70.372997,-151.2814929
187601,89,94,0,077010,074011,70.2133333,-151.2027778
8213,83.00000000000001,86,4,077011,074011,69.87219,-151.92065
