id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
8846,98,98,97,045033,046033,39.509,-123.839
12146,98,98,97,045033,046033,39.509,-123.839
12314,92,98,4,045033,046033,39.427,-123.808
12315,97,98,2,045033,046033,39.417,-123.812
12317,54,97,4,045033,046033,39.361,-123.815
12318,98.00000000000006,99,2,045033,046033,39.303,-123.797
12319,97,99,36,045033,046033,39.228,-123.776
12320,97,99,2,045033,046033,39.228,-123.774
12321,95.99999999999996,99,0,045033,046033,39.226,-123.778
12322,95,99,0,045033,046033,39.103,-123.707
12324,59,93,4,045033,046033,38.954,-123.73
17313,94,98,4,045033,046033,39.42722,-123.80778
17314,97,98,2,045033,046033,39.41722,-123.81165
17316,94,98,4,045033,046033,39.36111,-123.81527
17317,98.00000000000004,99,2,045033,046033,39.30278,-123.79667
17318,97,99,7,045033,046033,39.2275,-123.77639
17319,96.99999999999996,99,2,045033,046033,39.22806,-123.77361
17320,95.99999999999996,99,0,045033,046033,39.22639,-123.77778
17321,93,99,0,045033,046033,39.1025,-123.70667
17323,59,82,4,045033,046033,38.95389,-123.73
8940,94,97,4,045033,046033,39.4272222,-123.8077778
8941,97,98,2,045033,046033,39.4172222,-123.8116667
8943,94,98,4,045033,046033,39.3611111,-123.8152778
8944,98,99,2,045033,046033,39.3027778,-123.7966667
8945,97.00000000000004,99,7,045033,046033,39.2275,-123.7763889
8946,97,99,2,045033,046033,39.2280556,-123.7736111
8947,96,99,0,045033,046033,39.2263889,-123.7777778
8948,93,99,0,045033,046033,39.1025,-123.7066667
