id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
39274,96,97,3,034028,034028,45.60764266256499,-103.61167933185553
39281,65.99999999999999,82,6,034028,034028,45.44174647830122,-102.89745326639608
39700,95,97,3,034028,034028,45.60654267184973,-103.61017926930288
75553,93,95,5,034028,034028,45.98394406088106,-103.24877075466738
75554,93,95,5,034028,034028,45.98394406088106,-103.24877075466738
75555,93,95,5,034028,034028,45.98394406088106,-103.24877075466738
149258,96,97,9,034028,034028,45.610942635733934,-103.61597951269616
149259,95,97,3,034028,034028,45.60654267184973,-103.61017926930288
149260,96,97,1,034028,034028,45.60404265843074,-103.6135793596877
165288,89,95,4,034028,034028,45.984343960135654,-103.26887145115252
20342,70,91,4,034028,034028,46.54392165,-104.028258
20594,96.00000000000004,97,8,034028,034028,45.60448724,-103.6125348
21423,70,91,3,034028,034028,46.54361,-104.0277
43527,94,95,1,034028,034028,46.2903889,-102.96636
43529,60,85,2,034028,034028,46.5462389,-103.66072
43537,93,95,3,034028,034028,46.3382194,-102.62731
43541,94.00000000000004,96,5,034028,034028,46.4274806,-102.51295
43561,86,92,2,034028,034028,46.2214806,-103.74035
43615,93,94,10,034028,034028,45.98517,-103.24819
43768,94,95,1,034028,034028,46.29039,-102.96636
43771,60,85,2,034028,034028,46.54624,-103.66072
43779,96,97,93,034028,034028,46.13172,-103.09339
43783,93,95,3,034028,034028,46.33822,-102.62731
43788,94.00000000000006,96,5,034028,034028,46.42748,-102.51295
43813,86,92,2,034028,034028,46.22148,-103.74035
43906,93,94,10,034028,034028,45.98517,-103.24819
43907,25,84,0,034028,034028,46.00798,-103.28068
43908,82,91,0,034028,034028,45.99631,-103.28803
44002,91,94,1,034028,034028,46.147627,-103.475268
84562,77,82,1,034028,034028,45.9986168,-102.6432128
84569,91,94,3,034028,034028,46.1486166,-103.4749099
84570,60,84,1,034028,034028,46.1486166,-103.482688
84574,76,94,2,034028,034028,46.3280607,-102.6259932
84577,92,94,5,034028,034028,46.34083855,-102.6284936
157557,92,94,5,034028,034028,46.348667,-103.438938
165644,95.99999999999996,97,20,034028,034028,45.6077505,-103.61114
165860,95,97,3,034028,034028,45.606603,-103.60961
172220,93.00000000000004,95,2,034028,034028,45.98694749,-103.2504549
241105,61,91,0,034028,034028,45.368324,-104.473287
241107,29,80,1,034028,034028,45.43026917,-104.6255146
261384,25,84,0,034028,034028,46.0079806,-103.28068
261590,89,93,5,034028,034028,46.34175,-102.62907
262152,89,93,5,034028,034028,46.34175,-102.62907
307358,94,95,3,034028,034028,46.3389,-104.4784
165289,95,96,89,034028,034028,45.99658,-103.2791
165290,93,98,80,034028,034028,45.96347,-103.2746
19074,96,97,1,034028,034028,46.4774676675,-103.217654886
