id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
11862,97.00000000000004,99,4,004048,003048,17.752,-64.713
11863,96,98,1,004048,003048,17.703,-64.73
11864,97,99,36,004048,003048,17.729,-64.626
11865,98,99,20,004048,003048,17.712,-64.665
11869,97.00000000000004,98,25,004048,003048,17.757,-64.685
11875,94,96,1,004048,003048,17.76,-64.614
11878,96,98,0,004048,003048,17.752,-64.696
11879,96,98,93,004048,003048,17.752,-64.699
11886,99,100,95,004048,003048,17.718,-64.645
11887,98,100,21,004048,003048,17.733,-64.617
11892,85,92,1,004048,003048,17.746,-64.699
11895,99,100,94,004048,003048,17.711,-64.659
11896,94,97,4,004048,003048,17.75,-64.697
11899,97,99,95,004048,003048,17.703,-64.698
11901,97.99999999999996,99,94,004048,003048,17.711,-64.671
11905,98,100,97,004048,003048,17.754,-64.709
24868,97,99,30,004048,003048,17.752316666,-64.7127
24869,96,98,1,004048,003048,17.703166666,-64.7302666666
24870,96.99999999999994,99,1,004048,003048,17.729033333,-64.6263833333
24871,98,99,96,004048,003048,17.711533333,-64.6651166666
24874,97.00000000000004,98,33,004048,003048,17.757116666,-64.6850333333
24880,95,98,0,004048,003048,17.76045,-64.6135666666
24883,96,98,0,004048,003048,17.752116666,-64.6963
24884,96,98,93,004048,003048,17.75175,-64.6989833333
24889,99,100,95,004048,003048,17.717933333,-64.6448
24890,97.99999999999996,100,1,004048,003048,17.733433333,-64.6173166666
24894,86,93,1,004048,003048,17.74645,-64.6986
24896,99,100,94,004048,003048,17.7114,-64.6589166666
24897,94,96,1,004048,003048,17.7501,-64.6965
24899,97,99,95,004048,003048,17.703116666,-64.6982833333
24901,97.00000000000006,99,94,004048,003048,17.711483333,-64.6711333333
24905,98.00000000000006,100,97,004048,003048,17.7542,-64.70895
