id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
39288,89,93,1,032029,032030,43.975873894930345,-102.10046986635194
39289,93.00000000000004,96,1,032029,032030,43.97925407867269,-102.27781882583736
39290,70,92,0,032029,032030,43.98545414487896,-102.25691818111882
39705,78,92,1,032029,032030,43.86516396817762,-101.52023051663984
39706,80,89,1,032029,032030,43.8915871123467,-101.4574656318685
39915,93.00000000000004,96,1,032029,032030,43.97925407867269,-102.27781882583736
149274,80,90,1,032029,032030,43.89194811184031,-101.45718562545112
149275,85,90,1,032029,032030,43.89187513299258,-101.45233846245912
149404,95,96,0,032029,032030,43.981454055331525,-102.28071894193452
149405,93.00000000000004,96,1,032029,032030,43.97925407867269,-102.27781882583736
149406,80.99999999999999,95,1,032029,032030,43.977654100604326,-102.27461870494363
258212,89.99999999999999,96,1,032029,032030,43.978622089156154,-102.27615376467983
165918,92,96,1,032029,032030,43.9793102,-102.27737
39247,89.00000000000001,94,2,032030,032030,43.28136154666634,-101.41508429491256
39534,85,87,82,032030,032030,43.14627288623571,-101.52817496936156
39907,64,81,5,032030,032030,43.834265771724375,-102.05503213555886
149012,77,91,2,032030,032030,43.333358548428045,-102.03720533327996
149151,84.00000000000001,87,81,032030,032030,43.150866834091495,-101.53373318971812
149152,85.00000000000001,87,82,032030,032030,43.14621888533647,-101.52846497852696
149153,83.99999999999996,87,64,032030,032030,43.14145290551956,-101.53067601383944
149380,67,81,5,032030,032030,43.834742769283466,-102.05505614042336
149381,63,81,5,032030,032030,43.83377077573134,-102.05467711949242
149382,61.99999999999999,81,4,032030,032030,43.8328167822044,-102.05427309788112
257904,87,90,2,032030,032030,43.05599802050811,-102.31533121007176
258056,88,94,4,032030,032030,43.432874354551814,-102.17635977340846
258552,95.00000000000004,97,2,032030,032030,43.003279237533114,-102.565043978921
20370,79,96,2,032030,032030,42.92365358,-102.0414043
20381,77.99999999999999,81,2,032030,032030,42.35166617,-101.2441503
21468,94.00000000000004,96,76,032030,032030,42.92186,-102.0378
21480,77.99999999999996,81,2,032030,032030,42.35167,-101.2442
38281,94,97,2,032030,032030,42.59768,-100.898271
38282,94,96,1,032030,032030,42.625688,-100.864444
148958,89.99999999999999,94,1,032030,032030,42.91443,-101.6757
165634,77,91,2,032030,032030,43.3334166,-102.03673
208014,84,88,0,032030,032030,42.6350042,-100.8720903
256612,61,90,0,032030,032030,42.861665,-101.425254
267573,95,96,12,032030,032030,43.00411,-102.56228
38280,96,97,8,032030,032030,42.6304,-100.8737
18789,91,93,0,032030,032030,42.4048447994,-101.702480491
19076,94.00000000000006,96,59,032030,032030,42.9225598917,-102.038394709
